text,emotion
I feel like punching a wall I am so angry,angry
I am so mad that I am shaking,angry
I feel a cold furious anger,angry
I am enraged by their behavior,angry
I feel contempt and anger towards what happened,angry
I cannot let this go I am too angry,angry
I am offended beyond words,angry
I feel like everything is making me angry today,angry
I cannot calm down because the anger is too strong,angry
I am fuming and there is no excuse for what happened,angry
I feel intense frustration and anger,angry
I have been wronged and I demand justice,angry
I am trembling with rage,angry
I feel furious whenever I think about it,angry
I am so angry I have been pacing for hours,angry
I feel an overwhelming wave of anger,angry
I am fed up and I will not stand for this anymore,angry
I feel my jaw clenching because I am so angry,angry
I am infuriated by the lack of respect,angry
I feel bitter about how things turned out,angry
I cannot believe how this situation unfolded and I am furious,angry
I feel like I was stabbed in the back and I am seething,angry
I am so angry I cannot form proper words,angry
I feel righteous anger about the injustice I witnessed,angry
I am absolutely fuming and I will not pretend otherwise,angry
I feel overwhelmed by my own fury,angry
I am mad at myself and at the world,angry
I feel nothing but anger right now,angry
I have reached my breaking point and I am furious,angry
I am disgusted and outraged,angry
I feel let down and it makes me really angry,angry
I am infuriated and I cannot calm down,angry
I feel angry every single time I think about what happened,angry
I am beyond angry right now,angry
I feel stressed and overwhelmed,stressed
Too much work is stressing me out,stressed
I feel mentally exhausted,stressed
I am under a lot of pressure,stressed
I cannot relax at all,stressed
I feel anxiety and stress building up,stressed
I am struggling to stay calm,stressed
I feel burned out from work,stressed
I have too many responsibilities,stressed
I feel mentally drained,stressed
I am overthinking everything,stressed
I feel pressure building up inside me,stressed
I cannot focus due to stress,stressed
I feel tense and worried,stressed
I am exhausted mentally,stressed
I have a deadline tomorrow and I am panicking,stressed
I feel like I cannot keep up with everything,stressed
My mind is racing with worry,stressed
I am juggling too many things at once,stressed
I feel like I am about to break down,stressed
I cannot sleep because of stress,stressed
I feel crushed under all this pressure,stressed
My workload is killing me right now,stressed
I feel scattered and overwhelmed,stressed
I am stressed about my finances,stressed
I have been working nonstop and feel drained,stressed
I feel tense in my body from all the stress,stressed
I cannot catch a break,stressed
I feel like I am always behind on everything,stressed
I am stressed about my exams,stressed
I have so much on my plate right now,stressed
I feel worn out from constant worrying,stressed
My anxiety is through the roof,stressed
I feel nervous and stressed about tomorrow,stressed
I am constantly worrying about the future,stressed
I cannot switch off my brain,stressed
I feel restless and stressed,stressed
I am not coping well with all this pressure,stressed
I feel like everything is piling up,stressed
I am stressed out and cannot function,stressed
I feel emotionally and physically drained,stressed
I am barely holding it together,stressed
I feel overwhelmed with life right now,stressed
I cannot handle all this at once,stressed
I am stressed because of family problems,stressed
I feel like I need a break desperately,stressed
I have been anxious all day,stressed
I feel tight in my chest from stress,stressed
I am running on empty,stressed
I feel totally burnt out,stressed
I have three deadlines this week and I cannot breathe,stressed
I feel paralyzed by how much I need to do,stressed
I am under so much pressure that I cannot think clearly,stressed
I feel a constant sense of urgency and it is exhausting,stressed
My brain will not stop racing even at night,stressed
I am overwhelmed by the amount of responsibility I carry,stressed
I feel like there is never enough time to finish everything,stressed
I am so anxious about my results,stressed
I have not had a proper rest in weeks because of the pressure,stressed
I feel like I am drowning in work,stressed
I have been stressed for so long I have forgotten what calm feels like,stressed
I feel like I need to do everything at once,stressed
I am so tense that my shoulders hurt,stressed
I feel frazzled and cannot focus on anything,stressed
I am getting headaches from all the stress,stressed
I feel like I am spinning plates and they are all about to fall,stressed
I cannot relax even when I try,stressed
I am so overwhelmed I do not know where to start,stressed
I feel the weight of everything pressing down on me,stressed
I am stressed about money and it is affecting everything,stressed
I feel nervous and I cannot calm down before the presentation,stressed
I am too stressed to eat or sleep properly,stressed
I feel anxious about everything and it will not stop,stressed
I have so many unfinished tasks and I am panicking,stressed
I feel stretched thin by all my obligations,stressed
I am stressed and I feel like nobody understands,stressed
I feel mentally and physically exhausted from all the pressure,stressed
I have been in overdrive for weeks and I need it to stop,stressed
I feel panic creeping in as the deadlines approach,stressed
I am constantly on edge because of how much I have to do,stressed
I feel like the stress is affecting my health,stressed
I am tired of being so stressed all the time,stressed
I feel like I am losing control under all this pressure,stressed
I am struggling to keep up and it is really stressful,stressed
I feel anxious and stressed and I cannot shake it,stressed
I am buried under responsibilities and I feel crushed,stressed
I feel tension in every part of my body,stressed
I am exhausted from worrying about everything,stressed
I feel overwhelmed and I do not know how to cope,stressed
I have been anxious for days and it is really draining,stressed
I feel stressed whenever I think about all the things I need to do,stressed
I am mentally exhausted and I need rest,stressed
I feel like I have taken on more than I can handle,stressed
I cannot stop thinking about everything that could go wrong,stressed
I am stressed and I just want everything to slow down,stressed
I feel like I am running a race that never ends,stressed
I am tense anxious and completely overwhelmed right now,stressed
I feel a constant pressure that never lets me relax,stressed
I feel normal today,neutral
Just another regular day,neutral
Nothing special is happening,neutral
I feel okay today,neutral
Everything feels average right now,neutral
I am neither happy nor sad,neutral
I feel balanced today,neutral
It is just a usual day,neutral
I am calm and relaxed,neutral
I am fine with everything,neutral
I feel steady and composed,neutral
Nothing much is going on today,neutral
I feel neutral today,neutral
I am simply existing right now,neutral
Everything is fine,neutral
Today is pretty uneventful,neutral
I feel okay I guess,neutral
Nothing is particularly good or bad today,neutral
I am just going through my routine,neutral
I am doing alright,neutral
I have no strong feelings right now,neutral
Today is just like any other day,neutral
I feel indifferent about things,neutral
I am not excited but not upset either,neutral
I am just getting through the day,neutral
I feel nothing in particular,neutral
I am okay with how things are,neutral
Today has been pretty average,neutral
I feel mellow and unbothered,neutral
I am just doing my daily tasks,neutral
I am in a neutral headspace today,neutral
Nothing really happened today,neutral
I feel stable and grounded,neutral
I am just relaxing and taking it easy,neutral
I feel content but not particularly joyful,neutral
My mood is flat today,neutral
I am maintaining a steady pace,neutral
I have no complaints and no excitement,neutral
I feel at ease,neutral
I am in a routine and feeling normal,neutral
Things are going on as usual,neutral
I am not really feeling anything strong,neutral
I feel composed today,neutral
Today was standard nothing unusual,neutral
I feel okay just existing,neutral
I am tired after playing football but I am fine,neutral
I am tired after the gym but okay,neutral
I enjoy being alone sometimes,neutral
I like spending time alone,neutral
I had a quiet day at home today,neutral
I am just resting today,neutral
I am surviving the day,neutral
Today is just okay,neutral
I woke up and nothing felt particularly different,neutral
I spent the day doing ordinary things,neutral
I feel like myself today nothing more nothing less,neutral
I had a productive but unremarkable day,neutral
I am just taking things one step at a time,neutral
I feel like a steady wave nothing too high nothing too low,neutral
I went through the motions today and that is fine,neutral
I feel moderately fine today,neutral
I had a regular day at work and came home,neutral
I am at ease with how things are going,neutral
I feel centered and untroubled,neutral
I spent a quiet evening at home and it was fine,neutral
I feel like I am on autopilot today but that is okay,neutral
I am not particularly excited but I am not sad either,neutral
I had a simple day and I am content with that,neutral
I feel okay with where I am in life right now,neutral
Today was neither good nor bad just ordinary,neutral
I feel a quiet kind of okay today,neutral
I am doing fine just living my life,neutral
I feel even keeled and calm,neutral
Nothing bothered me today and nothing thrilled me either,neutral
I feel like today was a perfectly normal day,neutral
I had an average lunch and an average evening,neutral
I am just going with the flow today,neutral
I feel okay and that is enough for now,neutral
I am steady and undisturbed today,neutral
I feel okay not great but not bad,neutral
I had nothing to complain about today,neutral
I am just existing and that is okay,neutral
I feel fine and I have nothing special to report,neutral
I am taking today one moment at a time,neutral
I feel okay with everything as it is,neutral
I feel calm and unaffected by anything today,neutral
I am in a neutral mood and going about my day,neutral
I feel flat but stable and that is perfectly alright,neutral
I am going about life normally today,neutral
I had no particular highs or lows today,neutral
I feel moderately fine and I am okay with that,neutral
I feel okay and at peace with the ordinary,neutral
I am just here being normal today,neutral
I feel neutrally content right now,neutral
I love spending time with you,love
I feel so loved and cared for,love
You mean everything to me,love
I am deeply in love,love
I feel emotionally connected to you,love
I love my partner so much,love
I feel romantic and happy,love
I miss you with love in my heart,love
I feel close to you always,love
You are special to me,love
I adore you completely,love
I am deeply attached to you,love
I love my family deeply,love
I feel affection towards you,love
You are my world,love
I think about you all the time,love
I feel butterflies when I see you,love
I am falling in love with you,love
You make me feel complete,love
I cherish every moment with you,love
I feel so warm when you are around,love
I want to spend my life with you,love
I feel safe and loved with you,love
You bring out the best in me,love
I cannot imagine life without you,love
I feel a deep bond with you,love
My heart beats faster when I think of you,love
I love you more than words can say,love
I feel grateful to have you in my life,love
You are the most important person to me,love
I am deeply attached to you,love
I care about you deeply,love
I feel tenderness and warmth towards you,love
I love how you make me feel,love
I am devoted to you,love
I feel intense love and admiration for you,love
You light up my world,love
I feel unconditional love for my family,love
I am head over heels in love,love
You are my everything,love
I feel a deep connection with you,love
I love spending quiet moments with you,love
My love for you grows every day,love
I feel passion and warmth towards you,love
I love you with all my heart,love
I feel so lucky to love someone like you,love
I feel joy every time I see you,love
You are the reason I smile,love
I love you from the bottom of my heart,love
I feel a romantic pull towards you,love
I love my girlfriend deeply,love
I love my parents so much,love
I love my children unconditionally,love
I miss my partner and love them deeply,love
I feel such love for my best friend,love
I feel a tender affection that fills my heart,love
I feel loved every time you look at me,love
I carry you in my heart wherever I go,love
I love the way you laugh,love
Every moment with you feels precious and beautiful,love
I feel deeply in love and it is overwhelming,love
I want to give you the whole world,love
I love waking up knowing you are in my life,love
I feel a love that is calm deep and enduring,love
I never knew love could feel this real until I met you,love
I feel a rush of warmth every time you smile at me,love
I love you in a way I have never loved anyone before,love
I feel your love even when we are apart,love
I am so in love it sometimes takes my breath away,love
I feel a profound affection for you,love
I love you more each day than the day before,love
I feel at home whenever I am with you,love
I love the life we are building together,love
I feel loved cherished and deeply connected to you,love
You make everything better just by being here,love
I love every little thing about you,love
I feel a love that is pure and unconditional,love
I am in love and it feels like a beautiful dream,love
I love you and that is the simplest truth I know,love
I feel a gentle and powerful love for you,love
I love you more than you will ever fully understand,love
I feel attached to you in a way I cannot explain,love
I love you endlessly,love
I feel a love so deep it scares me sometimes,love
I am in love with you and every version of you,love
I feel warmth happiness and love when I am with you,love
I love you and I am proud to say it,love
I feel complete when you are near me,love
I love you quietly deeply and without condition,love
I feel so much love for you it overwhelms me,love
I am in love with you and everything about you,love
I feel a love that makes life feel worth living,love
I love you today tomorrow and always,love
I feel grateful every single day for your love,love
I am scared of what will happen,fear
This situation is frightening,fear
I feel nervous and afraid,fear
I am worried about the future,fear
I feel unsafe right now,fear
I am afraid of failure,fear
I feel scared in the dark,fear
This makes me anxious and scared,fear
I feel fear inside me,fear
I am panicking with fear,fear
I feel threatened,fear
I am terrified right now,fear
I feel uneasy and scared,fear
I am worried something bad will happen,fear
I feel nervous and tense,fear
I am having a panic attack,fear
I feel dread about what is coming,fear
My heart is pounding from fear,fear
I feel a deep sense of dread,fear
I am frightened by what I heard,fear
I feel vulnerable and scared,fear
I am shaking with fear,fear
I cannot stop worrying about bad things,fear
I feel paralyzed by my fear,fear
Something feels very wrong and I am scared,fear
I am scared of losing everything,fear
I feel intense fear and anxiety,fear
I am worried about my health,fear
I feel like something terrible is about to happen,fear
I cannot stop thinking about my fears,fear
I am scared of what people think of me,fear
I feel a knot in my stomach from anxiety,fear
I am nervous about tomorrow,fear
I feel terrified about the future,fear
I am scared of being alone,fear
I feel helpless and scared,fear
I cannot calm down because I am so scared,fear
I feel my heart racing with fear,fear
I am frightened of making the wrong choice,fear
Something is making me very anxious,fear
I feel on edge all the time,fear
I am scared and I do not know why,fear
I feel deep anxiety about everything,fear
I am worried and unsettled,fear
I feel a wave of panic wash over me,fear
I am afraid of the dark and I cannot sleep,fear
I feel like the walls are closing in on me,fear
I am scared of what tomorrow will bring,fear
I feel panic every time I think about it,fear
I feel a creeping sense of terror,fear
I am afraid something will go terribly wrong,fear
I feel my chest tighten with fear,fear
I am scared of messing everything up,fear
I feel anxiety that I cannot control,fear
I am frightened and I do not know who to turn to,fear
I feel an overwhelming sense of dread,fear
I am scared to death of what might happen,fear
I feel trembling fear inside me,fear
I am afraid of losing the people I love,fear
I feel terrified by the uncertainty ahead,fear
I am scared and alone and I do not know what to do,fear
I feel deep rooted fear that will not go away,fear
I am nervous and I feel sick with worry,fear
I feel anxious all the time and I cannot escape it,fear
I am scared of the future and what it holds,fear
I feel intense anxiety that makes it hard to function,fear
I am frightened by how out of control things feel,fear
I feel a deep existential fear,fear
I am scared of failing and disappointing everyone,fear
I feel like I am always waiting for something bad to happen,fear
I am terrified of being judged,fear
I feel unsafe no matter where I go,fear
I am scared and my hands are shaking,fear
I feel like the fear is swallowing me whole,fear
I am frightened by my own thoughts sometimes,fear
I feel a terrible anxiety about everything going wrong,fear
I am scared to open that email or answer that call,fear
I feel like I am walking on a tightrope about to fall,fear
I am nervous and afraid and cannot calm down,fear
I feel terror rising whenever I think about the situation,fear
I am scared of repeating past mistakes,fear
I feel a constant underlying fear that never leaves,fear
I am afraid of change and the unknown,fear
I feel anxiety in my chest constantly,fear
I am scared this is not going to work out,fear
I feel dread building the closer I get to the moment,fear
I am terrified and I do not want to face what is coming,fear
I feel like something is very wrong and I am scared,fear
I am afraid I am going to fail,fear
I feel frightened even though I know I should not be,fear
I am scared and I cannot explain why,fear
I feel paralyzed by fear and cannot move forward,fear
Wow I did not expect that,surprise
This is shocking,surprise
I am surprised by this news,surprise
That was unexpected,surprise
I can't believe this happened,surprise
This is unbelievable,surprise
I am amazed by this,surprise
That surprised me a lot,surprise
I was not expecting that,surprise
This is a sudden surprise,surprise
I am stunned,surprise
This is incredible,surprise
I did not see that coming,surprise
This caught me off guard,surprise
I am shocked right now,surprise
I cannot believe what just happened,surprise
This is absolutely mind blowing,surprise
I am blown away by this,surprise
I had no idea this would happen,surprise
This revelation is completely shocking,surprise
I feel astonished by this news,surprise
This totally surprised me,surprise
I was completely caught off guard,surprise
I cannot process what just happened,surprise
This is beyond what I expected,surprise
I am left speechless,surprise
This news hit me like a bolt of lightning,surprise
I feel overwhelmed with surprise,surprise
That was a total plot twist,surprise
I never would have guessed this,surprise
This shocked me to my core,surprise
I am flabbergasted by what I just heard,surprise
I feel completely surprised,surprise
This is the last thing I expected,surprise
I am genuinely shocked and amazed,surprise
I cannot wrap my head around this,surprise
This turned out completely differently than expected,surprise
I am surprised and excited at the same time,surprise
I feel a rush of shock and disbelief,surprise
That was a jaw dropping moment,surprise
I am totally taken aback,surprise
This is the biggest surprise of my life,surprise
I am overwhelmed with shock,surprise
I feel surprised and a bit shaken,surprise
This was a wonderful surprise,surprise
I did not anticipate this at all,surprise
I am in complete disbelief right now,surprise
This caught me completely by surprise,surprise
I feel stunned and I cannot find words,surprise
I was not prepared for this news at all,surprise
This hit me out of nowhere,surprise
I am astonished by what just happened,surprise
I feel a mixture of shock and amazement,surprise
I gasped when I heard the news,surprise
I am still trying to process what happened,surprise
I never expected things to turn out this way,surprise
I feel disbelief washing over me,surprise
This is the most unexpected thing that has ever happened to me,surprise
I am gobsmacked by this turn of events,surprise
I feel genuinely shocked by this development,surprise
I never in a million years thought this would happen,surprise
I am startled by how things unfolded,surprise
This came as a complete shock to me,surprise
I feel surprised in the most wonderful way,surprise
I am amazed by how dramatically things changed,surprise
This news took my breath away,surprise
I am stunned and I keep replaying it in my head,surprise
I feel a deep sense of disbelief,surprise
I cannot believe how this all turned out,surprise
I am shocked beyond belief,surprise
I feel like the ground shifted beneath me with this news,surprise
This is something I never could have predicted,surprise
I am surprised by how emotional this made me,surprise
I feel like I have just woken up from a dream,surprise
I am dumbfounded by what I just witnessed,surprise
I feel extreme surprise and I do not know what to say,surprise
This was a shocking and unexpected revelation,surprise
I am completely surprised and do not know how to react,surprise
I feel like my whole understanding has been turned upside down,surprise
This is not what I planned for at all,surprise
I am amazed shocked and thrilled all at once,surprise
I feel pure astonishment at what just happened,surprise
I am both shocked and intrigued by this development,surprise
This is the most surprising thing I have heard all year,surprise
I am surprised by my own reaction to this,surprise
I feel stunned in the best possible way,surprise
I feel bored and tired,bored
Nothing interests me,bored
I have nothing to do,bored
I feel uninterested,bored
This is so dull,bored
I feel sleepy and bored,bored
I am not interested in anything,bored
I feel lazy and bored,bored
This is very boring,bored
I have no motivation,bored
I feel disengaged,bored
I am wasting time,bored
I feel unproductive,bored
This is monotonous,bored
I feel stuck with nothing to do,bored
I am sitting here with absolutely nothing to do,bored
I have lost all interest in things around me,bored
Everything feels so repetitive and dull,bored
I cannot find anything to keep me entertained,bored
I feel like time is dragging on forever,bored
I am extremely bored and restless,bored
Life feels very dull right now,bored
I feel no excitement for anything,bored
I keep checking my phone out of boredom,bored
I feel like there is no purpose to what I am doing,bored
I am yawning and feeling completely disengaged,bored
I have scrolled through everything and I am still bored,bored
I feel like every day is the same,bored
Nothing excites me anymore,bored
I am just staring at the ceiling out of boredom,bored
I cannot find anything fun to do,bored
I feel detached from everything,bored
I am bored out of my mind,bored
I feel like nothing is worth doing,bored
I am not in the mood for anything,bored
I feel totally flat and disinterested,bored
I have no energy or enthusiasm,bored
I feel like life is on pause,bored
I am so bored I cannot even think,bored
I feel empty and unengaged,bored
I have run out of things to do,bored
I am completely uninspired,bored
I feel like giving up on finding something to do,bored
I am just going through the motions,bored
I feel hollow and bored inside,bored
I have been sitting around doing nothing for hours,bored
I feel zero interest in anything around me,bored
I cannot find a single thing that appeals to me right now,bored
I feel like I have done everything there is to do,bored
Life has become so predictable and monotonous,bored
I am craving stimulation but nothing is working,bored
I feel like I am stuck in a loop of boredom,bored
I have no drive or curiosity today,bored
I am utterly uninspired and uninterested,bored
I feel numb and indifferent to everything,bored
I am watching the clock because nothing is happening,bored
I feel like there is nothing meaningful to do,bored
I am drifting through the day without purpose,bored
I feel completely apathetic,bored
I have no interest in starting anything new,bored
